DateTime,Entries,UniqueIPs
1584479303,37221,37221
1584481218,33120,33120
1584483154,30812,30812
1584485061,27855,27855
1584487225,24497,24497
1584489182,20978,20978
1584491258,18223,18223
1584494185,13861,13861
1584496136,10782,10782
1584498040,8445,8445
1584500034,6422,6422
1584501946,6455,6455
1584503776,6509,6509
1584505699,6565,6565
1584508578,6610,6610
1584510536,6647,6647
1584512418,6692,6692
1584514368,6673,6673
1584516288,6785,6785
1584518206,6823,6823
1584520099,7008,7008
1584522375,7097,7097
1584524215,8339,8339
1584526097,9484,9484
1584528019,9639,9639
1584529993,9679,9679
1584531889,9729,9729
1584533851,9740,9740
1584535718,9817,9817
1584537657,9855,9855
1584539550,9883,9883
1584541483,9886,9886
1584543380,9872,9872
1584545298,10772,10772
1584547517,12061,12061
1584549397,12167,12167
1584551364,12198,12198
1584553228,12234,12234
1584555143,12252,12252
1584557091,12270,12270
1584558989,12284,12284
1584560930,12308,12308
1584562864,12316,12316
1584564758,12320,12320
1584566660,12373,12373
1584568597,12381,12381
1584570516,12376,12376
1584573389,12374,12374
1584575345,12212,12212
1584577326,12195,12195
1584579187,12185,12185
1584581064,12178,12178
1584582998,12169,12169
1584584903,12144,12144
1584587039,12163,12163
1584589228,12161,12161
1584591141,12151,12151
1584593080,12151,12151
1584595009,12146,12146
1584596927,12168,12168
1584598880,12167,12167
1584600738,12163,12163
1584602656,12093,12093
1584604596,12063,12063
1584606499,12021,12021
1584608640,11944,11944
1584610828,10384,10384
1584612743,9407,9407
1584614675,9143,9143
1584616583,9131,9131
1584618501,9235,9235
1584620429,9199,9199
1584622336,9161,9161
1584624255,9154,9154
1584626189,9168,9168
1584628095,9149,9149
1584630173,9342,9342
1584632004,8186,8186
1584633895,7070,7070
1584635780,6980,6980
1584637738,7019,7019
1584639633,7001,7001
1584641589,7022,7022
1584643473,7024,7024
1584645395,7012,7012
1584647314,6973,6973
1584649250,6949,6949
1584651146,6930,6930
1584653091,6838,6838
1584654992,6843,6843
1584656945,6813,6813
