DateTime,AddedIPs,RemovedIPs
1582944007,13,17
1582948743,119,58
1582951686,9,18
1582977616,1345,1617
1582986729,779,654
1583021291,14,25
1583028970,17,29
1583035142,94,122
1583036649,8,11
1583064018,1069,1614
1583078430,588,1248
1583106007,9,18
1583113689,11,10
1583117527,11,13
1583121364,8,0
1583121542,127,66
1583147300,609,0
1583150418,1195,1699
1583190727,10,0
1583198406,16,0
1583202247,7,0
1583207942,138,58
1583209928,13,13
1583226497,638,659
1583236817,1571,1535
1583248587,714,570
1583254812,617,565
1583279287,8,21
1583286965,8,19
1583290809,11,20
1583294888,11,10
1583323216,2042,1779
1583345302,660,710
1583364007,11,14
1583371686,19,13
1583375532,11,0
1583380742,90,61
1583383205,15,10
1583394016,734,0
1583409618,2813,2217
1583421374,600,581
1583422819,604,0
1583428333,658,0
1583452567,10,12
1583460490,27,32
1583467142,87,64
1583468166,9,9
1583492417,1895,1733
1583519285,567,612
1583537529,9,11
1583545206,12,9
1583549051,10,17
1583552886,17,0
1583553542,197,68
1583578817,1728,1499
1583609556,692,594
1583622251,6,7
1583633768,19,56
1583639942,143,72
1583641453,4,13
1583665218,1257,1862
1583700496,620,1754
1583710567,17,15
1583718251,14,0
1583722087,7,29
1583725925,10,0
1583726342,89,63
1583748016,1105,1802
1583759533,607,588
1583795528,12,10
1583807052,34,32
1583812742,99,73
1583814730,13,10
1583830817,1268,1790
1583850297,499,398
1583850731,175,183
1583883850,16,5
1583891526,13,0
1583895366,11,32
1583899209,12,10
1583917216,1399,2171
1583941208,603,596
1583968331,11,13
1583979848,31,23
1583985542,117,69
1583987528,17,6
1584003617,1650,1893
1584031950,498,492
1584032415,184,171
1584056659,12,13
1584064331,11,18
1584068168,15,19
1584072013,18,6
1584090016,1496,1579
1584122895,499,427
1584124088,170,243
1584141366,8,0
1584149050,15,0
1584152886,5,0
1584158342,127,95
1584160566,10,7
1584172818,1169,1364
1584181687,498,0
1584182410,166,0
1584186727,596,0
1584191538,624,0
1584197054,581,665
1584229929,12,24
1584237613,11,23
1584241453,10,23
1584245288,8,5
1584259216,1226,1577
1584288524,617,661
1584314651,11,0
1584322331,11,0
1584326170,16,13
1584331142,111,49
1584333846,6,5
1584345616,1016,1930
1584380172,687,675
1584400330,10,9
1584411849,29,26
1584417542,115,69
1584419532,13,6
1584432016,1477,1785
1584471625,610,672
1584488651,10,19
1584496329,12,11
1584500422,13,22
1584504244,11,0
1584518416,1725,1866
1584563546,688,587
1584573368,9,0
1584584887,35,32
1584590342,125,68
1584592568,12,21
1584604817,1461,1691
1584655217,610,3003
1584661930,11,28
1584669612,11,15
1584673691,9,5
1584677531,131,77
1584691217,1437,2215
1584746653,658,1257
1584754330,14,15
1584758172,9,8
1584763142,132,98
1584765850,12,10
1584774016,1364,1139
1584780493,575,0
1584835451,5,13
1584843131,21,20
1584849542,87,86
1584850811,10,12
1584871933,663,587
1584903616,1864,2056
1584919930,14,12
1584927606,20,12
1584931450,14,22
1584935942,86,81
1584939124,10,4
