DateTime,Entries,UniqueIPs
1580622645,18229,18229
1580636999,18164,18164
1580651435,18042,18042
1580665663,17983,17983
1580679981,17890,17890
1580694494,17944,17944
1580708958,18032,18032
1580723397,18012,18012
1580737700,18038,18038
1580752073,18001,18001
1580766461,17976,17976
1580781369,18025,18025
1580795496,18062,18062
1580809686,18030,18030
1580824108,18037,18037
1580838522,17991,17991
1580852898,17963,17963
1580867431,17981,17981
1580881754,18031,18031
1580896210,18071,18071
1580910693,18148,18148
1580924929,17691,17691
1580939483,17898,17898
1580953892,18221,18221
1580968345,18266,18266
1580982869,18475,18475
1580997472,18736,18736
1581012113,18775,18775
1581030093,18790,18790
1581048161,18791,18791
1581066244,18895,18895
1581093009,19070,19070
1581109583,19143,19143
1581127569,19113,19113
1581145521,19100,19100
1581163534,19137,19137
1581181553,19151,19151
1581199565,19113,19113
1581217578,19066,19066
1581235498,18999,18999
1581253373,18932,18932
1581271282,18827,18827
1581289270,18667,18667
1581307115,18560,18560
1581325175,18596,18596
1581343236,18777,18777
1581361205,18826,18826
1581379189,18763,18763
1581397149,18674,18674
1581415168,18715,18715
1581433141,18737,18737
1581451004,18701,18701
1581465453,18853,18853
1581480012,18999,18999
1581498094,19153,19153
1581516143,19242,19242
1581534153,19265,19265
1581552222,19339,19339
1581570306,19404,19404
1581588216,19358,19358
1581606249,19451,19451
1581624329,19511,19511
1581642349,19525,19525
1581660373,19572,19572
1581678389,19635,19635
1581696390,19631,19631
1581714386,19599,19599
1581732464,19637,19637
1581750448,19620,19620
1581768337,19554,19554
1581786306,19551,19551
1581804318,19559,19559
1581822457,19706,19706
1581840523,19785,19785
1581858514,19842,19842
1581876677,19985,19985
1581894763,20136,20136
1581912848,20231,20231
1581930864,20224,20224
1581948889,20156,20156
1581966835,20058,20058
1581984798,20069,20069
1582002824,20065,20065
1582020696,19931,19931
1582038608,19864,19864
1582056619,19832,19832
1582074544,19768,19768
1582092516,19716,19716
1582110449,19639,19639
1582128387,19590,19590
1582146493,19657,19657
1582164575,19663,19663
1582182510,19598,19598
1582200241,19260,19260
1582218081,18967,18967
1582235922,18826,18826
1582254067,18910,18910
1582271960,18799,18799
1582289811,18636,18636
1582304200,18593,18593
1582318670,18585,18585
1582332993,18642,18642
1582347509,18709,18709
1582365516,18788,18788
1582383525,18772,18772
1582401489,18721,18721
1582419430,18673,18673
1582433834,18644,18644
1582448129,18618,18618
1582462583,18537,18537
1582476930,18537,18537
1582491182,18471,18471
1582505493,18348,18348
1582519796,18228,18228
1582534069,17919,17919
1582548117,17587,17587
1582562359,17408,17408
1582576704,17341,17341
1582591144,17317,17317
1582605841,17584,17584
1582620100,17590,17590
1582634487,17554,17554
1582648842,17481,17481
1582663191,17456,17456
1582677698,17410,17410
1582692077,17515,17515
1582706488,17512,17512
1582720848,17443,17443
1582735231,17422,17422
1582749642,17321,17321
1582763923,17263,17263
1582778298,17222,17222
1582792671,17199,17199
1582807076,17179,17179
1582821601,17158,17158
1582835984,17176,17176
1582850285,17097,17097
1582864712,17143,17143
1582879079,17099,17099
1582893697,17136,17136
1582907891,17071,17071
1582922268,17039,17039
1582936625,16964,16964
1582950941,16891,16891
1582965383,16824,16824
1582979627,16757,16757
1582993894,16658,16658
1583008238,16619,16619
1583022609,16549,16549
1583037001,16512,16512
1583051379,16447,16447
1583065697,16383,16383
1583079997,16266,16266
1583094204,16032,16032
1583108685,16082,16082
1583123078,16089,16089
1583137563,16170,16170
1583152000,16196,16196
1583166420,16276,16276
1583180865,16297,16297
1583195288,16284,16284
1583209540,16112,16112
1583223864,16012,16012
1583238191,15915,15915
1583252565,15924,15924
1583267024,15936,15936
1583281831,16410,16410
1583296311,16502,16502
1583310794,16482,16482
1583325085,16486,16486
1583339408,16465,16465
1583353844,16484,16484
1583368362,16595,16595
1583382828,16608,16608
1583397229,16615,16615
1583411575,16608,16608
1583426061,16577,16577
1583440315,16552,16552
1583454781,16659,16659
1583469316,16719,16719
1583483720,16772,16772
1583498205,16769,16769
1583512476,16784,16784
1583526905,16789,16789
1583541328,16789,16789
1583555745,16768,16768
1583570248,16715,16715
1583584523,16757,16757
1583598912,16782,16782
1583613388,16811,16811
1583627810,16838,16838
1583642330,16803,16803
1583656529,16791,16791
1583670876,16727,16727
1583685181,16645,16645
1583699532,16566,16566
1583713837,16510,16510
1583728266,16533,16533
1583742615,16495,16495
1583757036,16485,16485
1583771404,16463,16463
1583785873,16558,16558
1583800231,16553,16553
1583814633,16513,16513
1583829014,16440,16440
1583843619,16812,16812
1583858440,17112,17112
1583872806,17216,17216
1583887268,17266,17266
1583901729,17374,17374
1583917454,17912,17912
1583934822,18368,18368
1583949510,18543,18543
1583967465,18619,18619
1583981764,18646,18646
1583996358,18926,18926
1584014693,19382,19382
1584032855,19630,19630
1584050896,19659,19659
1584068874,19610,19610
1584086917,19647,19647
1584104840,19578,19578
1584122830,19567,19567
1584140799,19610,19610
1584158888,19676,19676
1584176911,19682,19682
1584194880,19658,19658
1584212794,19596,19596
1584230778,19568,19568
1584248810,19568,19568
1584266725,19533,19533
1584284706,19514,19514
1584302664,19535,19535
1584320996,19886,19886
1584339428,20425,20425
1584357519,20650,20650
1584375652,20730,20730
1584393631,20714,20714
1584411593,20682,20682
1584429590,20683,20683
1584447411,20430,20430
1584465092,20031,20031
1584483054,19921,19921
1584501099,19966,19966
1584518865,19553,19553
1584536331,19043,19043
1584554274,18829,18829
1584568588,18788,18788
1584583019,18843,18843
1584597472,18693,18693
1584611416,18290,18290
1584625603,18027,18027
1584639999,17978,17978
1584654494,18033,18033
1584669198,18077,18077
1584683344,18057,18057
1584697737,18048,18048
1584712100,18028,18028
1584726536,18074,18074
1584741260,18226,18226
1584755726,18426,18426
1584770174,18541,18541
1584784655,18599,18599
1584799147,18632,18632
1584817137,18684,18684
1584835173,18751,18751
1584853278,18774,18774
1584871244,18782,18782
1584889227,18742,18742
1584907265,18743,18743
1584925359,18740,18740
1584943126,18600,18600
1584961057,18485,18485
